order_id,customer_id,product_id,quantity,unit_price,total_amount,status,currency,order_date,shipped_at,delivered_at,_source,_loaded_at
O00042,C00521,P00380,1,4554.2039,4554.2039,paid,VND,2024-04-11T00:00:00+00:00,2024-04-15T00:00:00+00:00,2024-04-18T00:00:00+00:00,shopify,2024-04-18T01:00:00+00:00
O00043,C00075,P00732,4,2481.4233,9925.6932,pending,VND,2025-08-07T00:00:00+00:00,2025-08-13T00:00:00+00:00,2025-08-23T00:00:00+00:00,oms,2025-08-23T01:00:00+00:00
O00044,C00945,P00391,4,4502.6003,18010.4012,paid,VND,2024-04-29T00:00:00+00:00,2024-05-02T00:00:00+00:00,2024-05-03T00:00:00+00:00,shopify,2024-05-03T01:00:00+00:00
O00045,C00182,P00400,4,1865.201,7460.804,paid,VND,2025-02-15T00:00:00+00:00,2025-02-16T00:00:00+00:00,2025-02-19T00:00:00+00:00,oms,2025-02-19T01:00:00+00:00
O00046,C00637,P00685,5,4410.9045,22054.5225,shipped,VND,2025-03-08T00:00:00+00:00,2025-03-14T00:00:00+00:00,2025-03-24T00:00:00+00:00,oms,2025-03-24T01:00:00+00:00
O00047,C00963,P00900,5,2051.925,10259.625,delivered,VND,2024-01-11T00:00:00+00:00,2024-01-15T00:00:00+00:00,2024-01-22T00:00:00+00:00,shopify,2024-01-22T01:00:00+00:00
O00048,C00863,P00923,4,4085.456,16341.824,pending,VND,2025-05-14T00:00:00+00:00,2025-05-17T00:00:00+00:00,2025-05-27T00:00:00+00:00,shopify,2025-05-27T01:00:00+00:00
O00049,C00043,P00713,8,653.1524,5225.2192,pending,VND,2024-08-16T00:00:00+00:00,2024-08-17T00:00:00+00:00,2024-08-19T00:00:00+00:00,oms,2024-08-19T01:00:00+00:00
O00050,C00924,P00811,8,341.8366,2734.6928,shipped,VND,2025-07-03T00:00:00+00:00,2025-07-06T00:00:00+00:00,2025-07-09T00:00:00+00:00,shopify,2025-07-09T01:00:00+00:00
O00051,C00292,P00550,5,1430.6771,7153.3855,pending,VND,2025-08-06T00:00:00+00:00,2025-08-09T00:00:00+00:00,2025-08-11T00:00:00+00:00,shopify,2025-08-11T01:00:00+00:00
O00052,C00843,P00907,4,4751.5433,19006.1732,paid,VND,2025-07-22T00:00:00+00:00,2025-07-29T00:00:00+00:00,2025-08-06T00:00:00+00:00,oms,2025-08-06T01:00:00+00:00
O00053,C00531,P00037,8,2399.3107,19194.4856,delivered,VND,2024-04-24T00:00:00+00:00,2024-04-26T00:00:00+00:00,2024-04-27T00:00:00+00:00,oms,2024-04-27T01:00:00+00:00
O00054,C00086,P00781,2,1216.3417,2432.6834,paid,VND,2025-09-22T00:00:00+00:00,2025-09-25T00:00:00+00:00,2025-10-03T00:00:00+00:00,shopify,2025-10-03T01:00:00+00:00
O00055,C00612,P00788,1,3317.755,3317.755,paid,VND,2025-05-30T00:00:00+00:00,2025-06-06T00:00:00+00:00,2025-06-10T00:00:00+00:00,shopify,2025-06-10T01:00:00+00:00
O00056,C00045,P00583,1,4743.4612,4743.4612,paid,VND,2024-12-15T00:00:00+00:00,2024-12-22T00:00:00+00:00,2024-12-27T00:00:00+00:00,shopify,2024-12-27T01:00:00+00:00
O00057,C00474,P00206,1,1962.6462,1962.6462,pending,VND,2024-06-05T00:00:00+00:00,2024-06-08T00:00:00+00:00,2024-06-17T00:00:00+00:00,oms,2024-06-17T01:00:00+00:00
O00058,C00189,P00643,4,1686.0843,6744.3372,pending,VND,2025-03-25T00:00:00+00:00,2025-03-26T00:00:00+00:00,2025-04-03T00:00:00+00:00,oms,2025-04-03T01:00:00+00:00
O00059,C00617,P00542,5,2788.6971,13943.4855,pending,VND,2024-05-26T00:00:00+00:00,2024-05-31T00:00:00+00:00,2024-06-06T00:00:00+00:00,oms,2024-06-06T01:00:00+00:00
O00060,C00702,P00067,7,2595.0561,18165.3927,shipped,VND,2024-01-18T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-01-26T00:00:00+00:00,shopify,2024-01-26T01:00:00+00:00
O00061,C00040,P00147,2,3424.7399,6849.4798,cancelled,VND,2024-01-07T00:00:00+00:00,2024-01-11T00:00:00+00:00,2024-01-12T00:00:00+00:00,oms,2024-01-12T01:00:00+00:00
O00062,C00834,P00397,10,607.014,6070.14,cancelled,VND,2024-08-17T00:00:00+00:00,2024-08-24T00:00:00+00:00,2024-08-25T00:00:00+00:00,oms,2024-08-25T01:00:00+00:00
O00063,C00021,P00665,8,4686.6826,37493.4608,cancelled,VND,2025-10-22T00:00:00+00:00,2025-10-26T00:00:00+00:00,2025-10-31T00:00:00+00:00,shopify,2025-10-31T01:00:00+00:00
O00064,C00461,P00933,4,3417.5771,13670.3084,delivered,VND,2025-09-19T00:00:00+00:00,2025-09-22T00:00:00+00:00,2025-09-28T00:00:00+00:00,shopify,2025-09-28T01:00:00+00:00
O00065,C00942,P00921,3,2276.5738,6829.7214,shipped,VND,2025-01-03T00:00:00+00:00,2025-01-05T00:00:00+00:00,2025-01-08T00:00:00+00:00,oms,2025-01-08T01:00:00+00:00
O00066,C00987,P00991,7,4995.711,34969.977,delivered,VND,2024-06-13T00:00:00+00:00,2024-06-16T00:00:00+00:00,2024-06-17T00:00:00+00:00,shopify,2024-06-17T01:00:00+00:00
O00067,C00148,P00044,8,2057.7535,16462.028,delivered,VND,2025-07-08T00:00:00+00:00,2025-07-15T00:00:00+00:00,2025-07-19T00:00:00+00:00,oms,2025-07-19T01:00:00+00:00
O00068,C00861,P00642,6,1048.4236,6290.5416,delivered,VND,2025-02-19T00:00:00+00:00,2025-02-23T00:00:00+00:00,2025-03-02T00:00:00+00:00,shopify,2025-03-02T01:00:00+00:00
O00069,C00455,P00976,7,2322.9506,16260.6542,paid,VND,2024-12-11T00:00:00+00:00,2024-12-14T00:00:00+00:00,2024-12-21T00:00:00+00:00,oms,2024-12-21T01:00:00+00:00
O00070,C00252,P00223,4,2846.2491,11384.9964,shipped,VND,2025-11-06T00:00:00+00:00,2025-11-13T00:00:00+00:00,2025-11-23T00:00:00+00:00,shopify,2025-11-23T01:00:00+00:00
O00071,C00562,P00884,7,1880.335,13162.345,paid,VND,2024-11-10T00:00:00+00:00,2024-11-12T00:00:00+00:00,2024-11-19T00:00:00+00:00,shopify,2024-11-19T01:00:00+00:00
O00072,C00112,P00556,8,1508.5982,12068.7856,paid,VND,2025-09-30T00:00:00+00:00,2025-10-04T00:00:00+00:00,2025-10-05T00:00:00+00:00,oms,2025-10-05T01:00:00+00:00
O00073,C00346,P00565,3,3301.6608,9904.9824,delivered,VND,2025-06-13T00:00:00+00:00,2025-06-17T00:00:00+00:00,2025-06-20T00:00:00+00:00,oms,2025-06-20T01:00:00+00:00
O00074,C00711,P00212,7,2841.2906,19889.0342,paid,VND,2024-06-25T00:00:00+00:00,2024-06-28T00:00:00+00:00,2024-07-08T00:00:00+00:00,shopify,2024-07-08T01:00:00+00:00
O00075,C00589,P00801,4,761.9095,3047.638,paid,VND,2024-11-20T00:00:00+00:00,2024-11-24T00:00:00+00:00,2024-11-28T00:00:00+00:00,shopify,2024-11-28T01:00:00+00:00
O00076,C00324,P00626,10,2657.6347,26576.347,pending,VND,2025-10-05T00:00:00+00:00,2025-10-06T00:00:00+00:00,2025-10-08T00:00:00+00:00,oms,2025-10-08T01:00:00+00:00
O00077,C00022,P00009,1,1664.2281,1664.2281,paid,VND,2024-04-02T00:00:00+00:00,2024-04-05T00:00:00+00:00,2024-04-11T00:00:00+00:00,oms,2024-04-11T01:00:00+00:00
O00078,C00981,P00219,5,4204.9858,21024.929,cancelled,VND,2025-01-06T00:00:00+00:00,2025-01-11T00:00:00+00:00,2025-01-17T00:00:00+00:00,shopify,2025-01-17T01:00:00+00:00
O00079,C00487,P00347,3,1455.8078,4367.4234,paid,VND,2024-04-13T00:00:00+00:00,2024-04-20T00:00:00+00:00,2024-04-29T00:00:00+00:00,oms,2024-04-29T01:00:00+00:00
O00080,C00168,P00426,2,2666.2028,5332.4056,cancelled,VND,2025-09-25T00:00:00+00:00,2025-09-29T00:00:00+00:00,2025-10-02T00:00:00+00:00,shopify,2025-10-02T01:00:00+00:00
O00081,C00717,P00288,4,4880.8624,19523.4496,pending,VND,2025-11-10T00:00:00+00:00,2025-11-12T00:00:00+00:00,2025-11-20T00:00:00+00:00,oms,2025-11-20T01:00:00+00:00
O00082,C00139,P00902,7,2369.3373,16585.3611,cancelled,VND,2025-05-03T00:00:00+00:00,2025-05-05T00:00:00+00:00,2025-05-06T00:00:00+00:00,shopify,2025-05-06T01:00:00+00:00
O00083,C00954,P00452,10,2863.8321,28638.321,cancelled,VND,2025-04-03T00:00:00+00:00,2025-04-04T00:00:00+00:00,2025-04-12T00:00:00+00:00,shopify,2025-04-12T01:00:00+00:00
O00084,C00907,P00348,2,4433.5886,8867.1772,cancelled,VND,2024-03-11T00:00:00+00:00,2024-03-13T00:00:00+00:00,2024-03-16T00:00:00+00:00,shopify,2024-03-16T01:00:00+00:00
O00085,C00694,P00404,3,563.7494,1691.2482,shipped,VND,2025-11-15T00:00:00+00:00,2025-11-17T00:00:00+00:00,2025-11-23T00:00:00+00:00,oms,2025-11-23T01:00:00+00:00
O00086,C00364,P00618,8,89.6181,716.9448,shipped,VND,2025-08-27T00:00:00+00:00,2025-08-31T00:00:00+00:00,2025-09-03T00:00:00+00:00,shopify,2025-09-03T01:00:00+00:00
O00087,C00197,P00526,5,4910.3616,24551.808,paid,VND,2024-01-25T00:00:00+00:00,2024-01-29T00:00:00+00:00,2024-02-04T00:00:00+00:00,oms,2024-02-04T01:00:00+00:00
O00088,C00665,P00245,5,1322.9358,6614.679,shipped,VND,2025-03-19T00:00:00+00:00,2025-03-22T00:00:00+00:00,2025-03-23T00:00:00+00:00,shopify,2025-03-23T01:00:00+00:00
O00089,C00676,P00083,6,2760.8578,16565.1468,pending,VND,2024-05-13T00:00:00+00:00,2024-05-20T00:00:00+00:00,2024-05-30T00:00:00+00:00,oms,2024-05-30T01:00:00+00:00
O00090,C00310,P00390,4,4523.6288,18094.5152,shipped,VND,2025-01-24T00:00:00+00:00,2025-01-28T00:00:00+00:00,2025-01-29T00:00:00+00:00,shopify,2025-01-29T01:00:00+00:00
O00091,C00344,P00376,9,4269.597,38426.373,paid,VND,2025-03-10T00:00:00+00:00,2025-03-14T00:00:00+00:00,2025-03-20T00:00:00+00:00,shopify,2025-03-20T01:00:00+00:00
O00092,C00737,P00268,9,972.5881,8753.2929,delivered,VND,2024-10-15T00:00:00+00:00,2024-10-18T00:00:00+00:00,2024-10-20T00:00:00+00:00,oms,2024-10-20T01:00:00+00:00
O00093,C00825,P00683,6,4308.7809,25852.6854,pending,VND,2024-04-26T00:00:00+00:00,2024-04-27T00:00:00+00:00,2024-04-30T00:00:00+00:00,oms,2024-04-30T01:00:00+00:00
O00094,C00077,P00182,6,334.1463,2004.8778,pending,VND,2025-08-08T00:00:00+00:00,2025-08-15T00:00:00+00:00,2025-08-19T00:00:00+00:00,oms,2025-08-19T01:00:00+00:00
O00095,C00010,P00741,1,3685.1526,3685.1526,pending,VND,2024-12-15T00:00:00+00:00,2024-12-22T00:00:00+00:00,2025-01-01T00:00:00+00:00,oms,2025-01-01T01:00:00+00:00
O00096,C00597,P00642,8,3158.7046,25269.6368,cancelled,VND,2024-12-04T00:00:00+00:00,2024-12-11T00:00:00+00:00,2024-12-13T00:00:00+00:00,oms,2024-12-13T01:00:00+00:00
O00097,C00058,P00722,3,1005.6113,3016.8339,pending,VND,2024-03-24T00:00:00+00:00,2024-03-26T00:00:00+00:00,2024-03-28T00:00:00+00:00,oms,2024-03-28T01:00:00+00:00
O00098,C00444,P00811,4,1058.993,4235.972,cancelled,VND,2024-03-22T00:00:00+00:00,2024-03-26T00:00:00+00:00,2024-04-01T00:00:00+00:00,oms,2024-04-01T01:00:00+00:00
O00099,C00488,P00838,4,3544.1058,14176.4232,delivered,VND,2025-05-22T00:00:00+00:00,2025-05-27T00:00:00+00:00,2025-05-30T00:00:00+00:00,shopify,2025-05-30T01:00:00+00:00
O00100,C00750,P00693,10,4326.3911,43263.911,cancelled,VND,2024-03-03T00:00:00+00:00,2024-03-07T00:00:00+00:00,2024-03-10T00:00:00+00:00,oms,2024-03-10T01:00:00+00:00
O00101,C00082,P00181,4,1323.6754,5294.7016,pending,VND,2025-07-09T00:00:00+00:00,2025-07-14T00:00:00+00:00,2025-07-18T00:00:00+00:00,oms,2025-07-18T01:00:00+00:00
O00102,C00193,P00192,6,3783.8683,22703.2098,cancelled,VND,2024-08-21T00:00:00+00:00,2024-08-23T00:00:00+00:00,2024-08-30T00:00:00+00:00,shopify,2024-08-30T01:00:00+00:00
O00103,C00616,P00423,9,3206.5689,28859.1201,shipped,VND,2024-08-11T00:00:00+00:00,2024-08-15T00:00:00+00:00,2024-08-20T00:00:00+00:00,oms,2024-08-20T01:00:00+00:00
O00104,C00544,P00008,5,1414.4312,7072.156,pending,VND,2024-06-14T00:00:00+00:00,2024-06-15T00:00:00+00:00,2024-06-16T00:00:00+00:00,shopify,2024-06-16T01:00:00+00:00
O00105,C00353,P00925,1,3103.0285,3103.0285,pending,VND,2025-03-16T00:00:00+00:00,2025-03-17T00:00:00+00:00,2025-03-25T00:00:00+00:00,oms,2025-03-25T01:00:00+00:00
O00106,C00327,P00603,6,3493.3991,20960.3946,cancelled,VND,2025-09-12T00:00:00+00:00,2025-09-18T00:00:00+00:00,2025-09-20T00:00:00+00:00,shopify,2025-09-20T01:00:00+00:00
O00107,C00745,P00860,6,2259.4269,13556.5614,shipped,VND,2025-05-06T00:00:00+00:00,2025-05-09T00:00:00+00:00,2025-05-17T00:00:00+00:00,shopify,2025-05-17T01:00:00+00:00
O00108,C00321,P00560,4,1148.277,4593.108,delivered,VND,2024-06-23T00:00:00+00:00,2024-06-24T00:00:00+00:00,2024-06-30T00:00:00+00:00,shopify,2024-06-30T01:00:00+00:00
O00109,C00902,P00473,6,4617.9956,27707.9736,delivered,VND,2025-02-16T00:00:00+00:00,2025-02-20T00:00:00+00:00,2025-02-28T00:00:00+00:00,oms,2025-02-28T01:00:00+00:00
O00110,C00146,P00756,7,2103.7898,14726.5286,shipped,VND,2024-01-26T00:00:00+00:00,2024-02-02T00:00:00+00:00,2024-02-05T00:00:00+00:00,shopify,2024-02-05T01:00:00+00:00
O00111,C00892,P00648,3,2003.0971,6009.2913,paid,VND,2024-01-15T00:00:00+00:00,2024-01-19T00:00:00+00:00,2024-01-22T00:00:00+00:00,oms,2024-01-22T01:00:00+00:00
O00112,C00223,P00098,1,1962.5453,1962.5453,paid,VND,2024-06-02T00:00:00+00:00,2024-06-05T00:00:00+00:00,2024-06-11T00:00:00+00:00,oms,2024-06-11T01:00:00+00:00
O00113,C00510,P00402,3,1524.5754,4573.7262,paid,VND,2025-07-16T00:00:00+00:00,2025-07-19T00:00:00+00:00,2025-07-23T00:00:00+00:00,shopify,2025-07-23T01:00:00+00:00
O00114,C00622,P00742,8,2169.9527,17359.6216,shipped,VND,2024-06-12T00:00:00+00:00,2024-06-16T00:00:00+00:00,2024-06-17T00:00:00+00:00,oms,2024-06-17T01:00:00+00:00
O00115,C00069,P00976,6,3533.0603,21198.3618,paid,VND,2025-09-14T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-20T00:00:00+00:00,shopify,2025-09-20T01:00:00+00:00
O00116,C00823,P00222,7,2457.6293,17203.4051,shipped,VND,2024-11-11T00:00:00+00:00,2024-11-17T00:00:00+00:00,2024-11-20T00:00:00+00:00,shopify,2024-11-20T01:00:00+00:00
O00117,C00701,P00634,7,3062.0175,21434.1225,shipped,VND,2025-09-05T00:00:00+00:00,2025-09-07T00:00:00+00:00,2025-09-16T00:00:00+00:00,shopify,2025-09-16T01:00:00+00:00
O00118,C00743,P00383,3,1854.142,5562.426,delivered,VND,2025-04-29T00:00:00+00:00,2025-04-30T00:00:00+00:00,2025-05-01T00:00:00+00:00,shopify,2025-05-01T01:00:00+00:00
O00119,C00428,P00253,4,4723.438,18893.752,delivered,VND,2024-08-27T00:00:00+00:00,2024-09-03T00:00:00+00:00,2024-09-09T00:00:00+00:00,shopify,2024-09-09T01:00:00+00:00
O00120,C00569,P00349,10,3971.1519,39711.519,cancelled,VND,2024-07-18T00:00:00+00:00,2024-07-20T00:00:00+00:00,2024-07-26T00:00:00+00:00,oms,2024-07-26T01:00:00+00:00
O00121,C00726,P00608,10,1192.7192,11927.192,delivered,VND,2024-09-12T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-26T00:00:00+00:00,oms,2024-09-26T01:00:00+00:00
O00122,C00321,P00524,2,1926.8753,3853.7506,pending,VND,2024-05-31T00:00:00+00:00,2024-06-05T00:00:00+00:00,2024-06-11T00:00:00+00:00,shopify,2024-06-11T01:00:00+00:00
O00123,C00474,P00618,5,343.958,1719.79,shipped,VND,2025-02-02T00:00:00+00:00,2025-02-09T00:00:00+00:00,2025-02-13T00:00:00+00:00,oms,2025-02-13T01:00:00+00:00
O00124,C00373,P00869,1,2373.9972,2373.9972,shipped,VND,2024-08-16T00:00:00+00:00,2024-08-22T00:00:00+00:00,2024-08-23T00:00:00+00:00,shopify,2024-08-23T01:00:00+00:00
O00125,C00845,P00636,8,2813.7707,22510.1656,shipped,VND,2024-10-06T00:00:00+00:00,2024-10-09T00:00:00+00:00,2024-10-17T00:00:00+00:00,oms,2024-10-17T01:00:00+00:00
O00126,C00844,P00831,4,4789.0512,19156.2048,shipped,VND,2025-09-03T00:00:00+00:00,2025-09-08T00:00:00+00:00,2025-09-10T00:00:00+00:00,oms,2025-09-10T01:00:00+00:00
O00127,C00754,P00907,4,2622.2759,10489.1036,delivered,VND,2025-05-31T00:00:00+00:00,2025-06-03T00:00:00+00:00,2025-06-07T00:00:00+00:00,shopify,2025-06-07T01:00:00+00:00
O00128,C00718,P00839,1,1497.9033,1497.9033,pending,VND,2024-07-28T00:00:00+00:00,2024-07-30T00:00:00+00:00,2024-08-04T00:00:00+00:00,oms,2024-08-04T01:00:00+00:00
O00129,C00668,P00660,7,402.7613,2819.3291,delivered,VND,2025-04-21T00:00:00+00:00,2025-04-28T00:00:00+00:00,2025-05-01T00:00:00+00:00,shopify,2025-05-01T01:00:00+00:00
O00130,C00569,P00161,10,2226.255,22262.55,delivered,VND,2024-11-17T00:00:00+00:00,2024-11-18T00:00:00+00:00,2024-11-23T00:00:00+00:00,shopify,2024-11-23T01:00:00+00:00
O00131,C00203,P00724,10,2272.1341,22721.341,shipped,VND,2024-06-15T00:00:00+00:00,2024-06-20T00:00:00+00:00,2024-06-23T00:00:00+00:00,oms,2024-06-23T01:00:00+00:00
O00132,C00127,P00054,6,2767.3499,16604.0994,delivered,VND,2025-01-12T00:00:00+00:00,2025-01-14T00:00:00+00:00,2025-01-20T00:00:00+00:00,oms,2025-01-20T01:00:00+00:00
O00133,C00644,P00445,6,1983.7331,11902.3986,shipped,VND,2024-11-30T00:00:00+00:00,2024-12-05T00:00:00+00:00,2024-12-06T00:00:00+00:00,shopify,2024-12-06T01:00:00+00:00
